SumOfStates should sum all states correctly: actors=20 | types=4 (com.signalcollect.nodeprovisioning.cluster.ClusterNodeProvisionerActor,com.signalcollect.node.DefaultNodeActor,com.signalcollect.worker.AkkaWorker,com.signalcollect.coordinator.DefaultCoordinator) 
ProductOfStates should multiply all states correctly: actors=20 | types=4 (com.signalcollect.nodeprovisioning.cluster.ClusterNodeProvisionerActor,com.signalcollect.node.DefaultNodeActor,com.signalcollect.worker.AkkaWorker,com.signalcollect.coordinator.DefaultCoordinator) 
CountVertices should count the number of PageRank vertices correctly: actors=20 | types=4 (com.signalcollect.nodeprovisioning.cluster.ClusterNodeProvisionerActor,com.signalcollect.node.DefaultNodeActor,com.signalcollect.worker.AkkaWorker,com.signalcollect.coordinator.DefaultCoordinator) 
CountVertices should count the number of SudokuCell vertices correctly: actors=20 | types=4 (com.signalcollect.nodeprovisioning.cluster.ClusterNodeProvisionerActor,com.signalcollect.node.DefaultNodeActor,com.signalcollect.worker.AkkaWorker,com.signalcollect.coordinator.DefaultCoordinator) 
SampleVertexIds should sample 0 vertex ids correctly: actors=20 | types=4 (com.signalcollect.nodeprovisioning.cluster.ClusterNodeProvisionerActor,com.signalcollect.node.DefaultNodeActor,com.signalcollect.worker.AkkaWorker,com.signalcollect.coordinator.DefaultCoordinator) 
SampleVertexIds should sample 50 vertex ids correctly: actors=20 | types=4 (com.signalcollect.nodeprovisioning.cluster.ClusterNodeProvisionerActor,com.signalcollect.node.DefaultNodeActor,com.signalcollect.worker.AkkaWorker,com.signalcollect.coordinator.DefaultCoordinator) 
SampleVertexIds should sample 1000 vertex ids correctly: actors=20 | types=4 (com.signalcollect.nodeprovisioning.cluster.ClusterNodeProvisionerActor,com.signalcollect.node.DefaultNodeActor,com.signalcollect.worker.AkkaWorker,com.signalcollect.coordinator.DefaultCoordinator) 
Graph should support the `loadGraph` command: actors=20 | types=4 (com.signalcollect.nodeprovisioning.cluster.ClusterNodeProvisionerActor,com.signalcollect.node.DefaultNodeActor,com.signalcollect.worker.AkkaWorker,com.signalcollect.coordinator.DefaultCoordinator) 
Graph should support using the `loadGraph` command after the loading phase: actors=20 | types=4 (com.signalcollect.nodeprovisioning.cluster.ClusterNodeProvisionerActor,com.signalcollect.node.DefaultNodeActor,com.signalcollect.worker.AkkaWorker,com.signalcollect.coordinator.DefaultCoordinator) 
Bulk signaling should deliver correct results on a 5-cycle graph: actors=20 | types=4 (com.signalcollect.nodeprovisioning.cluster.ClusterNodeProvisionerActor,com.signalcollect.node.DefaultNodeActor,com.signalcollect.worker.AkkaWorker,com.signalcollect.coordinator.DefaultCoordinator) 
Bulk signaling should handle a bulk size of 1 correctly: actors=20 | types=4 (com.signalcollect.nodeprovisioning.cluster.ClusterNodeProvisionerActor,com.signalcollect.node.DefaultNodeActor,com.signalcollect.worker.AkkaWorker,com.signalcollect.coordinator.DefaultCoordinator) 
PageRank algorithm should deliver correct results on a 5-cycle graph: actors=40 | types=4 (com.signalcollect.nodeprovisioning.cluster.ClusterNodeProvisionerActor,com.signalcollect.node.DefaultNodeActor,com.signalcollect.worker.AkkaWorker,com.signalcollect.coordinator.DefaultCoordinator) 
PageRank algorithm should deliver correct results on a 5-star graph: actors=40 | types=4 (com.signalcollect.nodeprovisioning.cluster.ClusterNodeProvisionerActor,com.signalcollect.node.DefaultNodeActor,com.signalcollect.worker.AkkaWorker,com.signalcollect.coordinator.DefaultCoordinator) 
PageRank algorithm should deliver correct results on a 2*2 symmetric grid: actors=40 | types=4 (com.signalcollect.nodeprovisioning.cluster.ClusterNodeProvisionerActor,com.signalcollect.node.DefaultNodeActor,com.signalcollect.worker.AkkaWorker,com.signalcollect.coordinator.DefaultCoordinator) 
PageRank algorithm should deliver correct results on a 5*5 torus: actors=40 | types=4 (com.signalcollect.nodeprovisioning.cluster.ClusterNodeProvisionerActor,com.signalcollect.node.DefaultNodeActor,com.signalcollect.worker.AkkaWorker,com.signalcollect.coordinator.DefaultCoordinator) 
